pH	Antibiotic	Concentration	Strain	ExperimentDate	Incubation	Person	OD	ExperimentDate
9	levofloxacin	16	K279a	72619	48	EA	0.2697	72719
5	levofloxacin	8	K279a	72619	48	EA	1.641	72719
5	levofloxacin	8	K279a	72619	48	EA	1.6699	72719
5	levofloxacin	8	K279a	72619	48	EA	1.673	72719
7	levofloxacin	8	K279a	72619	48	EA	1.3812	72719
7	levofloxacin	8	K279a	72619	48	EA	1.3813	72719
7	levofloxacin	8	K279a	72619	48	EA	1.3713	72719
9	levofloxacin	8	K279a	72619	48	EA	0.9064	72719
9	levofloxacin	8	K279a	72619	48	EA	1.0038	72719
9	levofloxacin	8	K279a	72619	48	EA	1.1444	72719
5	levofloxacin	4	K279a	72619	48	EA	1.7809	72719
5	levofloxacin	4	K279a	72619	48	EA	1.7958	72719
5	levofloxacin	4	K279a	72619	48	EA	1.7819	72719
7	levofloxacin	4	K279a	72619	48	EA	1.627	72719
7	levofloxacin	4	K279a	72619	48	EA	1.6262	72719
7	levofloxacin	4	K279a	72619	48	EA	1.6306	72719
9	levofloxacin	4	K279a	72619	48	EA	1.4273	72719
9	levofloxacin	4	K279a	72619	48	EA	1.43	72719
9	levofloxacin	4	K279a	72619	48	EA	1.4381	72719
5	levofloxacin	2	K279a	72619	48	EA	1.6988	72719
5	levofloxacin	2	K279a	72619	48	EA	1.6967	72719
5	levofloxacin	2	K279a	72619	48	EA	1.7713	72719
7	levofloxacin	2	K279a	72619	48	EA	1.74	72719
7	levofloxacin	2	K279a	72619	48	EA	1.7448	72719
7	levofloxacin	2	K279a	72619	48	EA	1.734	72719
9	levofloxacin	2	K279a	72619	48	EA	1.6589	72719
9	levofloxacin	2	K279a	72619	48	EA	1.6542	72719
9	levofloxacin	2	K279a	72619	48	EA	1.6714	72719
5	levofloxacin	1	K279a	72619	48	EA	1.6943	72719
5	levofloxacin	1	K279a	72619	48	EA	1.7246	72719
5	levofloxacin	1	K279a	72619	48	EA	1.6764	72719
7	levofloxacin	1	K279a	72619	48	EA	1.6475	72719
7	levofloxacin	1	K279a	72619	48	EA	1.6141	72719
7	levofloxacin	1	K279a	72619	48	EA	1.6299	72719
9	levofloxacin	1	K279a	72619	48	EA	1.6718	72719
9	levofloxacin	1	K279a	72619	48	EA	1.7464	72719
9	levofloxacin	1	K279a	72619	48	EA	1.6987	72719
5	levofloxacin	0	K279a	72619	48	EA	1.7469	72719
5	levofloxacin	0	K279a	72619	48	EA	1.7144	72719
5	levofloxacin	0	K279a	72619	48	EA	1.7438	72719
7	levofloxacin	0	K279a	72619	48	EA	1.7504	72719
7	levofloxacin	0	K279a	72619	48	EA	1.7416	72719
7	levofloxacin	0	K279a	72619	48	EA	1.7342	72719
9	levofloxacin	0	K279a	72619	48	EA	1.6302	72719
9	levofloxacin	0	K279a	72619	48	EA	1.6575	72719
9	levofloxacin	0	K279a	72619	48	EA	1.6252	72719
5	levofloxacin	16	K279a	72619	24	EA	1.4082	72719
5	levofloxacin	16	K279a	72619	24	EA	1.3728	72719
5	levofloxacin	16	K279a	72619	24	EA	1.4059	72719
7	levofloxacin	16	K279a	72619	24	EA	0.3238	72719
7	levofloxacin	16	K279a	72619	24	EA	0.3231	72719
7	levofloxacin	16	K279a	72619	24	EA	0.3206	72719
9	levofloxacin	16	K279a	72619	24	EA	0.2543	72719
9	levofloxacin	16	K279a	72619	24	EA	0.2504	72719
9	levofloxacin	16	K279a	72619	24	EA	0.2647	72719
5	levofloxacin	8	K279a	72619	24	EA	1.5636	72719
5	levofloxacin	8	K279a	72619	24	EA	1.5655	72719
5	levofloxacin	8	K279a	72619	24	EA	1.5545	72719
7	levofloxacin	8	K279a	72619	24	EA	1.2195	72719
7	levofloxacin	8	K279a	72619	24	EA	1.2056	72719
7	levofloxacin	8	K279a	72619	24	EA	1.2006	72719
9	levofloxacin	8	K279a	72619	24	EA	0.396	72719
9	levofloxacin	8	K279a	72619	24	EA	0.4037	72719
9	levofloxacin	8	K279a	72619	24	EA	0.4242	72719
5	levofloxacin	4	K279a	72619	24	EA	1.4499	72719
5	levofloxacin	4	K279a	72619	24	EA	1.3844	72719
5	levofloxacin	4	K279a	72619	24	EA	1.3587	72719
7	levofloxacin	4	K279a	72619	24	EA	1.5932	72719
7	levofloxacin	4	K279a	72619	24	EA	1.6186	72719
7	levofloxacin	4	K279a	72619	24	EA	1.6206	72719
9	levofloxacin	4	K279a	72619	24	EA	1.4076	72719
9	levofloxacin	4	K279a	72619	24	EA	1.4258	72719
9	levofloxacin	4	K279a	72619	24	EA	1.4463	72719
5	levofloxacin	2	K279a	72619	24	EA	1.3654	72719
5	levofloxacin	2	K279a	72619	24	EA	1.2742	72719
5	levofloxacin	2	K279a	72619	24	EA	1.2993	72719
7	levofloxacin	2	K279a	72619	24	EA	1.6822	72719
7	levofloxacin	2	K279a	72619	24	EA	1.6966	72719
7	levofloxacin	2	K279a	72619	24	EA	1.696	72719
9	levofloxacin	2	K279a	72619	24	EA	1.6391	72719
9	levofloxacin	2	K279a	72619	24	EA	1.6369	72719
9	levofloxacin	2	K279a	72619	24	EA	1.6434	72719
5	levofloxacin	1	K279a	72619	24	EA	1.4373	72719
5	levofloxacin	1	K279a	72619	24	EA	1.467	72719
5	levofloxacin	1	K279a	72619	24	EA	1.3218	72719
7	levofloxacin	1	K279a	72619	24	EA	1.7036	72719
7	levofloxacin	1	K279a	72619	24	EA	1.6978	72719
7	levofloxacin	1	K279a	72619	24	EA	1.7382	72719
9	levofloxacin	1	K279a	72619	24	EA	1.6893	72719
9	levofloxacin	1	K279a	72619	24	EA	1.7119	72719
9	levofloxacin	1	K279a	72619	24	EA	1.7034	72719
5	levofloxacin	0	K279a	72619	24	EA	1.5542	72719
5	levofloxacin	0	K279a	72619	24	EA	1.4123	72719
5	levofloxacin	0	K279a	72619	24	EA	1.4278	72719
7	levofloxacin	0	K279a	72619	24	EA	1.6788	72719
7	levofloxacin	0	K279a	72619	24	EA	1.595	72719
7	levofloxacin	0	K279a	72619	24	EA	1.675	72719
9	levofloxacin	0	K279a	72619	24	EA	1.6932	72719
9	levofloxacin	0	K279a	72619	24	EA	1.7087	72719
9	levofloxacin	0	K279a	72619	24	EA	1.655	72719
5	levofloxacin	16	K279a	72619	24	ML	1.3913	72719
5	levofloxacin	16	K279a	72619	24	ML	1.4098	72719
5	levofloxacin	16	K279a	72619	24	ML	1.2789	72719
7	levofloxacin	16	K279a	72619	24	ML	0.2715	72719
7	levofloxacin	16	K279a	72619	24	ML	0.2557	72719
7	levofloxacin	16	K279a	72619	24	ML	0.2504	72719
9	levofloxacin	16	K279a	72619	24	ML	0.2026	72719
9	levofloxacin	16	K279a	72619	24	ML	0.2002	72719
9	levofloxacin	16	K279a	72619	24	ML	1.5854	72719
5	levofloxacin	8	K279a	72619	24	ML	1.5013	72719
5	levofloxacin	8	K279a	72619	24	ML	1.5077	72719
5	levofloxacin	8	K279a	72619	24	ML	1.5151	72719
7	levofloxacin	8	K279a	72619	24	ML	1.1785	72719
7	levofloxacin	8	K279a	72619	24	ML	1.1465	72719
7	levofloxacin	8	K279a	72619	24	ML	1.1055	72719
9	levofloxacin	8	K279a	72619	24	ML	0.2585	72719
9	levofloxacin	8	K279a	72619	24	ML	0.2794	72719
9	levofloxacin	8	K279a	72619	24	ML	1.7271	72719
5	levofloxacin	4	K279a	72619	24	ML	1.4116	72719
5	levofloxacin	4	K279a	72619	24	ML	1.5533	72719
5	levofloxacin	4	K279a	72619	24	ML	1.5633	72719
7	levofloxacin	4	K279a	72619	24	ML	1.5743	72719
7	levofloxacin	4	K279a	72619	24	ML	1.5745	72719
7	levofloxacin	4	K279a	72619	24	ML	1.5747	72719
9	levofloxacin	4	K279a	72619	24	ML	1.4151	72719
9	levofloxacin	4	K279a	72619	24	ML	1.4947	72719
9	levofloxacin	4	K279a	72619	24	ML	1.6902	72719
5	levofloxacin	2	K279a	72619	24	ML	1.5078	72719
5	levofloxacin	2	K279a	72619	24	ML	1.5267	72719
5	levofloxacin	2	K279a	72619	24	ML	1.5103	72719
7	levofloxacin	2	K279a	72619	24	ML	1.6392	72719
7	levofloxacin	2	K279a	72619	24	ML	1.6523	72719
7	levofloxacin	2	K279a	72619	24	ML	1.6655	72719
9	levofloxacin	2	K279a	72619	24	ML	1.5688	72719
9	levofloxacin	2	K279a	72619	24	ML	1.5672	72719
9	levofloxacin	2	K279a	72619	24	ML	1.7021	72719
5	levofloxacin	1	K279a	72619	24	ML	1.5179	72719
5	levofloxacin	1	K279a	72619	24	ML	1.5289	72719
5	levofloxacin	1	K279a	72619	24	ML	1.5566	72719
7	levofloxacin	1	K279a	72619	24	ML	1.6806	72719
7	levofloxacin	1	K279a	72619	24	ML	1.7056	72719
7	levofloxacin	1	K279a	72619	24	ML	1.7286	72719
9	levofloxacin	1	K279a	72619	24	ML	1.6498	72719
9	levofloxacin	1	K279a	72619	24	ML	1.6706	72719
9	levofloxacin	1	K279a	72619	24	ML	1.6805	72719
5	levofloxacin	0	K279a	72619	24	ML	1.4356	72719
5	levofloxacin	0	K279a	72619	24	ML	1.4151	72719
5	levofloxacin	0	K279a	72619	24	ML	1.589	72719
7	levofloxacin	0	K279a	72619	24	ML	1.6597	72719
7	levofloxacin	0	K279a	72619	24	ML	1.6824	72719
7	levofloxacin	0	K279a	72619	24	ML	1.6703	72719
9	levofloxacin	0	K279a	72619	24	ML	1.6311	72719
9	levofloxacin	0	K279a	72619	24	ML	1.6253	72719
9	levofloxacin	0	K279a	72619	24	ML	1.7139	72719
